""	"PARTID"	"order"	"item"	"CODE.E"	"CODE"	"CODE.H"	"CODE.S"
"62"	"sh010"	1	"hoejere kraefter"	"concepts"	"concepts"	"concepts"	"concepts"
"63"	"evj003"	3	"karma"	"concepts"	"concepts"	"characteristics"	"concepts"
"64"	"sh003"	2	"karma"	"concepts"	"concepts"	"institution"	"concepts"
"65"	"rse007"	1	"klarsyn"	"meaning"	"concepts"	"beliefs"	"concepts"
"66"	"evj003"	1	"kraft"	"concepts"	"concepts"	"objects"	"concepts"
"67"	"mgs007"	3	"law of attraction"	"concepts"	"concepts"	"rules"	"concepts"
"68"	"sh007"	5	"magisk taenkning"	"misc"	"concepts"	"meditation"	"concepts"
"69"	"hkp010"	5	"manifestation"	"concepts"	"concepts"	"meditation"	"concepts"
"70"	"hkp006"	5	"mystik"	"concepts"	"concepts"	"beliefs"	"concepts"
"71"	"mgs009"	1	"panteisme"	"concepts"	"concepts"	"beliefs"	"concepts"
"72"	"mgs017"	4	"panteisme"	"concepts"	"concepts"	"concepts"	"concepts"
"73"	"rse009"	1	"reinkarnation"	"concepts"	"concepts"	"negative"	"concepts"
"74"	"mgs019"	2	"resakralisering"	"misc"	"concepts"	"institution"	"concepts"
"75"	"evj001"	3	"shakraer"	"concepts"	"concepts"	"beliefs"	"concepts"
"76"	"rse001"	2	"sjæl"	"concepts"	"concepts"	"concepts"	"concepts"
"77"	"mgs008"	2	"spoegelser"	"concepts"	"concepts"	"feelings"	"concepts"
"78"	"atoe006"	5	"spøgelse"	"concepts"	"concepts"	"concepts"	"concepts"
"79"	"rse001"	4	"stjernetegn"	"concepts"	"concepts"	"objects"	"concepts"
"80"	"atoe007"	4	"stjernetegn"	"concepts"	"concepts"	"objects"	"concepts"
"81"	"atoe009"	4	"stjernetegn"	"concepts"	"concepts"	"objects"	"concepts"
"82"	"sh002"	2	"stjernetegn"	"concepts"	"concepts"	"objects"	"concepts"
"83"	"sh011"	2	"stjernetegn"	"concepts"	"concepts"	"objects"	"concepts"
"84"	"sh013"	3	"stjernetegn"	"concepts"	"concepts"	"objects"	"concepts"
"85"	"sh015"	5	"stjernetegn"	"concepts"	"concepts"	"objects"	"concepts"
"86"	"mgs006"	4	"stjernetegn"	"concepts"	"concepts"	"objects"	"concepts"
"87"	"mgs007"	4	"stjernetegn"	"concepts"	"concepts"	"objects"	"concepts"
"88"	"mgs008"	4	"stjernetegn"	"concepts"	"concepts"	"objects"	"concepts"
"89"	"mgs012"	2	"stjernetegn"	"concepts"	"concepts"	"objects"	"concepts"
"90"	"mgs019"	5	"stjernetegn"	"concepts"	"concepts"	"objects"	"concepts"
"91"	"evj003"	2	"uforklarligheder"	"misc"	"concepts"	"characteristics"	"concepts"
"92"	"hkp008"	3	"uhaandgribeligt"	"misc"	"concepts"	"beliefs"	"characteristics"
"93"	"mgs003"	3	"univers"	"concepts"	"concepts"	"beliefs"	"concepts"
"94"	"hkp009"	1	"universet"	"concepts"	"concepts"	"objects"	"concepts"
"95"	"sh001"	4	"universet"	"concepts"	"concepts"	"objects"	"concepts"
"96"	"mgs007"	2	"universet"	"concepts"	"concepts"	"objects"	"concepts"
"97"	"hkp007"	2	"zen"	"ritual"	"concepts"	"concepts"	"concepts"
"98"	"sh001"	2	"aand"	"concepts"	"concepts"	"concepts"	"concepts"
"99"	"mgs020"	1	"aand"	"concepts"	"concepts"	"concepts"	"concepts"
"100"	"atoe004"	2	"åndelighed"	"concepts"	"concepts"	"concepts"	"concepts"
"101"	"rse003"	1	"åndelighed"	"concepts"	"concepts"	"concepts"	"concepts"
"102"	"mgs021"	3	"aandelighed"	"concepts"	"concepts"	"concepts"	"concepts"
"103"	"mgs015"	4	"aandeligt"	"concepts"	"concepts"	"concepts"	"characteristics"
"104"	"evj002"	1	"ånder"	"concepts"	"concepts"	"concepts"	"concepts"
"105"	"rse009"	2	"ånder"	"concepts"	"concepts"	"concepts"	"concepts"
